name,latitude,longitude,date,score,comment
Italy,41.8719,12.4964, 2017,10,"Delicios food and beautiful architecture"
Austria,47.5162,14.5501,2020,9,"Silent glamour"
Philippines,12.8797,121.7740,2023,0,"Dirty streets, so hot"
Slovakia,48.6690,19.6990,2023,8,"Beautiful castles"
Turkey,38.9637,35.2433,2023,10,"Just a madness"
Kazakhstan,48.0196,66.9237,2024,2,"Cold and grey"
Hungary,47.1625,19.5033,2024,7,"Rude People, but nice architecture
Czech,49.8175,15.4730,2024,9,"Fantastic drink and sweets"
Japan,36.2048,138.2529,2024,10,"Just amazing!"
